,code,target_date,min_distance,min_s_distance,min_l_p_distance,min_l_p_v_distance,min_distance_name,matching_period
112,600604,20260119,92.7860284869542,260.4292349337031,27.221314546580466,16.227159107172813,瑞达期货-20251020-20251107,['20251226']-['20260119']
41,603344,20260119,92.80616167729333,278.2753045236217,9.794540846310523,15.963020165784178,瑞达期货-20251020-20251107,['20251226']-['20260119']
182,600629,20260119,92.9074244512195,254.2320288341601,24.922972377119656,22.902310219588905,航天发展-20251017-20251112,['20251222']-['20260119']
67,300737,20260119,93.30039944451208,270.61868464245885,19.549723972200482,15.624692150285716,瑞达期货-20251020-20251107,['20251226']-['20260119']
312,000555,20260119,93.35802066060991,286.75131680661923,6.160158969257008,13.711444819617599,华纳药厂-20250409-20250512,['20251218']-['20260119']
90,300324,20260119,93.45410668324438,269.6558255006828,23.965807864679626,13.41904168408911,瑞达期货-20251020-20251107,['20251226']-['20260119']
319,300921,20260119,94.0340858126935,287.9804189882778,12.14426811738277,9.991699202488363,华纳药厂-20250409-20250512,['20251218']-['20260119']
284,600635,20260119,94.05668929697258,279.6118743067212,9.74148407404999,18.126704456853055,瑞达期货-20251020-20251107,['20251226']-['20260119']
24,688229,20260119,94.13413271827234,278.7590170890494,9.101893322799821,19.439648986793934,瑞达期货-20251020-20251107,['20251226']-['20260119']
303,600120,20260119,94.16445351298175,266.89610336792475,25.11137274735902,16.405526695991572,瑞达期货-20251020-20251107,['20251226']-['20260119']
54,300252,20260119,94.18931933883115,270.0107453434124,26.255870523792304,13.273336446674366,瑞达期货-20251020-20251107,['20251226']-['20260119']
360,601238,20260119,94.39542793435196,227.8602051607164,63.91450073440234,17.157540414540836,瑞达期货-20251020-20251107,['20251226']-['20260119']
63,605255,20260119,94.57177924553835,273.9453995370168,13.288374346671851,21.004117701079444,微芯生物-20250527-20250620,['20251212']-['20260119']
383,002583,20260119,94.72974295146285,287.4045259261659,15.681971225823254,9.509484514665314,中信证券-20240708-20240730,['20251224']-['20260119']
376,002805,20260119,94.74509794452281,284.98310954640414,10.301052703384032,15.399623173965889,华纳药厂-20250409-20250512,['20251218']-['20260119']
105,300155,20260119,94.80452507679406,270.6561360900456,17.940136946336455,20.564107914698663,瑞达期货-20251020-20251107,['20251226']-['20260119']
167,688099,20260119,94.90787279416118,267.4893996735926,22.897420301760466,19.479567003888146,瑞达期货-20251020-20251107,['20251226']-['20260119']
149,688513,20260119,95.27366343704192,222.90189417339826,68.23712307835021,19.829895653793436,瑞达期货-20251020-20251107,['20251226']-['20260119']
19,301201,20260119,95.36084400279108,253.54494871004258,33.69348122714528,22.973287554086816,瑞达期货-20251020-20251107,['20251226']-['20260119']
347,601198,20260119,95.49724190182367,284.2354793841124,13.01509963384265,15.805170491092861,瑞达期货-20251020-20251107,['20251226']-['20260119']
34,688767,20260119,95.55130650185603,261.4662916375015,39.088438741681806,13.462218470252633,瑞达期货-20251020-20251107,['20251226']-['20260119']
154,000538,20260119,95.5767188075718,261.0569319219651,38.41827802213149,14.335389560857063,瑞达期货-20251020-20251107,['20251226']-['20260119']
237,600756,20260119,95.64832358342774,297.2656825061119,4.895478250753859,12.499938390920015,华纳药厂-20250409-20250512,['20251218']-['20260119']
23,003041,20260119,95.75051942122758,281.30917717959767,12.551993092299114,18.98042084914634,华纳药厂-20250409-20250512,['20251218']-['20260119']
259,600390,20260119,95.7512461837263,284.6878427133894,12.518480114459257,16.473373338429266,瑞达期货-20251020-20251107,['20251226']-['20260119']
398,600284,20260119,95.80379531234665,241.92630031331313,56.4617169412325,15.718475339957411,瑞达期货-20251020-20251107,['20251226']-['20260119']
78,603197,20260119,95.83894723757128,229.13057488804202,71.95370850402323,13.784155549879264,瑞达期货-20251020-20251107,['20251226']-['20260119']
81,600850,20260119,96.12477594242114,293.85863176328274,7.4506466844641315,14.329981020242707,微芯生物-20250527-20250620,['20251223']-['20260119']
129,603737,20260119,96.27502472932213,270.44618983186734,22.048086447709135,21.316854613622986,瑞达期货-20251020-20251107,['20251226']-['20260119']
343,688223,20260119,97.01185698195967,274.78334808101187,25.049851486129857,17.65474277954291,瑞达期货-20251020-20251107,['20251226']-['20260119']
71,600926,20260119,97.22039742230436,268.1272845034336,34.525765215999044,16.061206266186424,瑞达期货-20251020-20251107,['20251226']-['20260119']
52,000952,20260119,97.27551615312159,291.1962183056386,14.054914495541828,14.250440781918655,中铝国际-20250923-20251020,['20251229']-['20260119']
21,000776,20260119,97.39165312941422,283.5734844079487,17.664964260430743,17.55029632225098,瑞达期货-20251020-20251107,['20251226']-['20260119']
353,300688,20260119,97.46155836453282,291.0633916883055,11.886129887621584,16.441754729386755,瑞达期货-20251020-20251107,['20251226']-['20260119']
328,601229,20260119,97.52355240042608,271.82217633867157,31.47101258165043,16.338989310823735,瑞达期货-20251020-20251107,['20251226']-['20260119']
253,603316,20260119,97.56158853580214,286.5835390869704,17.902082705388125,15.539754995236494,航天发展-20251017-20251112,['20251222']-['20260119']
224,002243,20260119,97.57535806440683,290.8242185601739,14.261837165479754,15.123853366776801,瑞达期货-20251020-20251107,['20251226']-['20260119']
85,605055,20260119,97.72647013973372,248.0451320619281,57.38251762953568,15.24543808073647,瑞达期货-20251020-20251107,['20251226']-['20260119']
213,600784,20260119,97.73460252590392,272.04382891357096,33.01016393108796,15.546011681265627,瑞达期货-20251020-20251107,['20251226']-['20260119']
381,002756,20260119,97.79850315744432,228.88588801128446,77.57856445561421,14.6479185434368,瑞达期货-20251020-20251107,['20251226']-['20260119']
221,603879,20260119,97.93655200910517,299.7667401228374,15.479034477892235,8.407049072215699,华纳药厂-20250409-20250512,['20251218']-['20260119']
349,601601,20260119,97.98276144369429,295.86140177312177,6.120996007173239,18.47010527401446,瑞达期货-20251020-20251107,['20251226']-['20260119']
74,688239,20260119,98.10335929268469,277.1787151492843,24.00013672592437,19.37425932530523,瑞达期货-20251020-20251107,['20251226']-['20260119']
139,688314,20260119,98.27639151846931,277.6861989407733,30.670188066350107,14.42368854083075,瑞达期货-20251020-20251107,['20251226']-['20260119']
202,301096,20260119,98.50404016194278,213.016698627163,90.94321332951101,18.29016643735144,瑞达期货-20251020-20251107,['20251226']-['20260119']
128,002100,20260119,98.53707174563448,256.3342442720689,52.01767911165339,15.078736826294522,瑞达期货-20251020-20251107,['20251226']-['20260119']
9,002799,20260119,98.63789533476418,307.9719259546505,12.895105417270516,5.944464807969699,中铝国际-20250923-20251020,['20251229']-['20260119']
283,002292,20260119,99.07334547519895,286.3947083153871,22.3910667657739,16.09403237712662,航天发展-20251017-20251112,['20251222']-['20260119']
122,300593,20260119,99.10207396703802,284.6983395308202,10.36037910343737,26.461145941901922,瑞达期货-20251020-20251107,['20251226']-['20260119']
254,688319,20260119,99.26355653143862,300.24469337709,7.833196363124141,17.100474023435936,航天发展-20251017-20251112,['20251222']-['20260119']
92,301370,20260119,99.45310722112706,244.63055689565368,65.60971017519907,15.952567749678131,瑞达期货-20251020-20251107,['20251226']-['20260119']
59,688158,20260119,99.56135046039009,270.5177498309941,40.52081469919947,15.624452753330068,瑞达期货-20251020-20251107,['20251226']-['20260119']
334,300101,20260119,99.71707733728753,275.12458276463576,33.58583646627553,17.759878920035383,瑞达期货-20251020-20251107,['20251226']-['20260119']
374,300516,20260119,100.02405051221501,283.2361395791011,11.039757087123295,29.353203780869215,瑞达期货-20251020-20251107,['20251226']-['20260119']
153,300225,20260119,100.13713743362648,289.7214851556291,22.39278234271805,16.25714296030584,瑞达期货-20251020-20251107,['20251226']-['20260119']
26,002388,20260119,100.14227367504472,306.48295574019795,12.696032280989488,10.97144317172123,华纳药厂-20250409-20250512,['20251217']-['20260119']
371,002813,20260119,100.15014940284517,250.1348324652044,62.64410437645996,15.791170875864683,瑞达期货-20251020-20251107,['20251226']-['20260119']
273,603260,20260119,100.2239844435212,309.90168046237056,6.474391427686034,13.27790719126057,航天发展-20251017-20251112,['20251222']-['20260119']
203,688323,20260119,100.52835009232008,289.09841417792,21.11821075044465,18.658406534526716,航天发展-20251017-20251112,['20251222']-['20260119']
103,688539,20260119,100.5520000623591,254.07944400050548,49.22860658382911,23.898962217646808,瑞达期货-20251020-20251107,['20251226']-['20260119']
346,000977,20260119,100.94001042426618,278.5055439551447,33.276018516428564,18.513854206985503,瑞达期货-20251020-20251107,['20251226']-['20260119']
193,002485,20260119,100.99139231521514,298.53959204396557,17.383115712286465,15.536449970848826,瑞达期货-20251020-20251107,['20251226']-['20260119']
77,600501,20260119,101.26553544896308,316.28125236805096,3.6663492461413765,13.203137411763471,微芯生物-20250527-20250620,['20251223']-['20260119']
258,600435,20260119,101.4437932781346,315.5385599593621,8.12586143854026,10.86116714690977,华纳药厂-20250409-20250512,['20251218']-['20260119']
